unit_title,Bradford,Calderdale,Kirklees,Leeds,Wakefield,Total
Care workers and home carers,294.0,67.0,81.0,3982.0,232.0,4656.0
Nurses,38.0,8.0,133.0,2450.0,405.0,3034.0
Other administrative occupations n.e.c.,286.0,89.0,216.0,1608.0,463.0,2662.0
Programmers and software development professionals,97.0,71.0,162.0,2121.0,125.0,2576.0
Marketing and sales directors,107.0,86.0,175.0,2015.0,182.0,2565.0
Sales related occupations n.e.c.,269.0,92.0,268.0,1522.0,314.0,2465.0
Managers and proprietors in other services n.e.c.,90.0,42.0,114.0,2069.0,142.0,2457.0
"IT business analysts, architects and systems designers",48.0,59.0,83.0,1366.0,51.0,1607.0
Human resources and industrial relations officers,146.0,45.0,67.0,1089.0,117.0,1464.0
Large goods vehicle drivers,312.0,76.0,99.0,831.0,72.0,1390.0
IT user support technicians,56.0,61.0,88.0,1050.0,111.0,1366.0
Marketing associate professionals,95.0,61.0,124.0,952.0,133.0,1365.0
Nursing auxiliaries and assistants,70.0,3.0,34.0,1140.0,109.0,1356.0
Cleaners and domestics,156.0,197.0,62.0,670.0,269.0,1354.0
Merchandisers and window dressers,0.0,5.0,1256.0,50.0,12.0,1323.0
Engineering professionals n.e.c.,60.0,50.0,86.0,1012.0,79.0,1287.0
Management consultants and business analysts,46.0,57.0,69.0,1020.0,59.0,1251.0
Business and financial project management professionals,38.0,39.0,57.0,946.0,124.0,1204.0
Customer service occupations n.e.c.,163.0,60.0,172.0,606.0,193.0,1194.0
Elementary storage occupations,481.0,87.0,120.0,351.0,154.0,1193.0
Engineering technicians,129.0,40.0,117.0,792.0,101.0,1179.0
Web design and development professionals,17.0,54.0,53.0,968.0,38.0,1130.0
"Book-keepers, payroll managers and wages clerks",100.0,42.0,89.0,605.0,207.0,1043.0
Teaching and other educational professionals n.e.c.,121.0,21.0,12.0,535.0,349.0,1038.0
Financial managers and directors,69.0,35.0,90.0,677.0,139.0,1010.0
IT operations technicians,73.0,53.0,30.0,779.0,57.0,992.0
Sales accounts and business development managers,37.0,30.0,69.0,762.0,81.0,979.0
"Science, engineering and production technicians n.e.c.",221.0,55.0,77.0,494.0,120.0,967.0
Chartered and certified accountants,75.0,34.0,91.0,621.0,120.0,941.0
Information technology and telecommunications professionals n.e.c.,31.0,78.0,28.0,691.0,92.0,920.0
Civil engineers,6.0,15.0,47.0,803.0,30.0,901.0
Van drivers,334.0,60.0,67.0,324.0,85.0,870.0
IT project and programme managers,26.0,56.0,24.0,670.0,31.0,807.0
Quantity surveyors,8.0,7.0,26.0,746.0,7.0,794.0
Production managers and directors in manufacturing,117.0,32.0,64.0,487.0,87.0,787.0
Health services and public health managers and directors,19.0,0.0,17.0,659.0,83.0,778.0
Electrical engineers,85.0,24.0,42.0,580.0,25.0,756.0
Kitchen and catering assistants,70.0,20.0,22.0,584.0,55.0,751.0
Mechanical engineers,133.0,28.0,42.0,478.0,55.0,736.0
Elementary construction occupations,118.0,13.0,29.0,523.0,25.0,708.0
Teaching assistants,35.0,19.0,21.0,228.0,385.0,688.0
Quality assurance and regulatory professionals,46.0,22.0,19.0,503.0,97.0,687.0
"Residential, day and domiciliary  care managers and proprietors",9.0,0.0,0.0,635.0,41.0,685.0
Finance and investment analysts and advisers,59.0,31.0,40.0,395.0,119.0,644.0
Construction project managers and related professionals,19.0,13.0,27.0,548.0,20.0,627.0
Buyers and procurement officers,53.0,7.0,72.0,448.0,32.0,612.0
Business sales executives,22.0,35.0,96.0,360.0,99.0,612.0
Electricians and electrical fitters,49.0,16.0,57.0,460.0,29.0,611.0
Secondary education teaching professionals,30.0,35.0,13.0,159.0,360.0,597.0
Solicitors,0.0,16.0,13.0,436.0,125.0,590.0
Production managers and directors in construction,28.0,15.0,5.0,510.0,26.0,584.0
Purchasing managers and directors,17.0,5.0,14.0,495.0,37.0,568.0
Nursery nurses and assistants,67.0,24.0,35.0,258.0,183.0,567.0
Sales and retail assistants,134.0,24.0,160.0,184.0,31.0,533.0
Receptionists,34.0,7.0,42.0,356.0,84.0,523.0
Carpenters and joiners,53.0,33.0,41.0,352.0,34.0,513.0
Metal working machine operatives,109.0,24.0,25.0,268.0,79.0,505.0
Legal associate professionals,7.0,14.0,6.0,385.0,85.0,497.0
Primary and nursery education teaching professionals,79.0,21.0,9.0,160.0,225.0,494.0
Chefs,52.0,35.0,9.0,355.0,40.0,491.0
Electrical and electronic trades n.e.c.,35.0,20.0,36.0,291.0,94.0,476.0
Plumbers and heating and ventilating engineers,23.0,4.0,44.0,362.0,30.0,463.0
Office managers,22.0,15.0,30.0,293.0,95.0,455.0
Senior professionals of educational establishments,22.0,38.0,23.0,231.0,136.0,450.0
"Estimators, valuers and assessors",50.0,5.0,18.0,328.0,36.0,437.0
Draughtspersons,10.0,7.0,44.0,346.0,22.0,429.0
Business and related associate professionals n.e.c.,10.0,44.0,21.0,309.0,44.0,428.0
"Vehicle technicians, mechanics and electricians",31.0,13.0,197.0,146.0,40.0,427.0
Design and development engineers,19.0,12.0,28.0,349.0,18.0,426.0
Human resource managers and directors,18.0,20.0,24.0,331.0,33.0,426.0
Quality control and planning engineers,38.0,60.0,14.0,295.0,14.0,421.0
Sales supervisors,46.0,12.0,91.0,263.0,8.0,420.0
Transport and distribution clerks and assistants,38.0,28.0,27.0,288.0,29.0,410.0
"Property, housing and estate managers",17.0,7.0,15.0,330.0,33.0,402.0
Medical practitioners,0.0,7.0,12.0,303.0,68.0,390.0
Sports and leisure assistants,6.0,0.0,40.0,343.0,0.0,389.0
Information technology and telecommunications directors,10.0,17.0,20.0,315.0,25.0,387.0
Elementary administration occupations n.e.c.,43.0,6.0,30.0,245.0,63.0,387.0
Customer service managers and supervisors,28.0,10.0,34.0,266.0,40.0,378.0
Financial administrative occupations n.e.c.,43.0,13.0,10.0,208.0,94.0,368.0
Fitness instructors,4.0,0.0,29.0,318.0,0.0,351.0
Medical and dental technicians,34.0,8.0,43.0,245.0,19.0,349.0
Chief executives and senior officials,5.0,7.0,11.0,310.0,14.0,347.0
Health and safety officers,29.0,14.0,34.0,247.0,18.0,342.0
Higher education teaching professionals,17.0,12.0,0.0,272.0,40.0,341.0
Metal working production and maintenance fitters,40.0,20.0,45.0,196.0,35.0,336.0
Childminders and related occupations,0.0,0.0,0.0,328.0,0.0,328.0
"Planning, process and production technicians",43.0,11.0,26.0,224.0,15.0,319.0
Welfare and housing associate professionals n.e.c.,92.0,11.0,16.0,161.0,36.0,316.0
Cooks,15.0,3.0,5.0,279.0,13.0,315.0
Functional managers and directors n.e.c.,11.0,17.0,12.0,222.0,51.0,313.0
Vocational and industrial trainers and instructors,26.0,22.0,48.0,176.0,41.0,313.0
Metal machining setters and setter-operators,60.0,19.0,29.0,167.0,36.0,311.0
"Authors, writers and translators",37.0,13.0,20.0,224.0,13.0,307.0
Welding trades,78.0,18.0,41.0,130.0,37.0,304.0
Personal assistants and other secretaries,9.0,14.0,12.0,217.0,50.0,302.0
Managers and directors in storage and warehousing,25.0,9.0,10.0,213.0,26.0,283.0
Fork-lift truck drivers,198.0,3.0,4.0,48.0,27.0,280.0
Other skilled trades n.e.c.,23.0,14.0,21.0,195.0,14.0,267.0
Construction and building trades n.e.c.,27.0,11.0,11.0,208.0,8.0,265.0
Graphic designers,16.0,11.0,42.0,182.0,13.0,264.0
Caretakers,29.0,12.0,0.0,184.0,37.0,262.0
Architects,0.0,6.0,19.0,230.0,7.0,262.0
Quality assurance technicians,47.0,3.0,26.0,170.0,11.0,257.0
Credit controllers,31.0,4.0,7.0,113.0,97.0,252.0
Public relations professionals,23.0,18.0,6.0,178.0,19.0,244.0
Estate agents and auctioneers,16.0,4.0,10.0,198.0,16.0,244.0
Elementary process plant occupations n.e.c.,87.0,0.0,21.0,105.0,31.0,244.0
Plant and machine operatives n.e.c.,68.0,6.0,8.0,126.0,28.0,236.0
"Business, research and administrative professionals n.e.c.",20.0,22.0,7.0,155.0,25.0,229.0
Managers and directors in retail and wholesale,32.0,2.0,132.0,55.0,5.0,226.0
Pharmacists,7.0,0.0,5.0,163.0,44.0,219.0
Chartered surveyors,11.0,5.0,18.0,177.0,6.0,217.0
Production and process engineers,22.0,3.0,7.0,178.0,4.0,214.0
Stock control clerks and assistants,45.0,7.0,23.0,108.0,29.0,212.0
Housekeepers and related occupations,8.0,4.0,7.0,191.0,0.0,210.0
Chartered architectural technologists,5.0,4.0,21.0,173.0,0.0,203.0
Business and related research professionals,0.0,0.0,0.0,202.0,0.0,202.0
Health associate professionals n.e.c.,12.0,3.0,26.0,90.0,68.0,199.0
Painters and decorators,19.0,10.0,10.0,138.0,21.0,198.0
Sales administrators,16.0,3.0,10.0,118.0,38.0,185.0
Building and civil engineering technicians,0.0,0.0,16.0,165.0,0.0,181.0
Managers and directors in transport and distribution,15.0,5.0,12.0,123.0,23.0,178.0
Construction and building trades supervisors,9.0,3.0,4.0,115.0,46.0,177.0
Advertising and public relations directors,5.0,12.0,4.0,137.0,18.0,176.0
Biological scientists and biochemists,9.0,6.0,4.0,120.0,37.0,176.0
Financial accounts managers,11.0,9.0,6.0,129.0,20.0,175.0
"Sports coaches, instructors and officials",18.0,8.0,19.0,97.0,30.0,172.0
"Arts officers, producers and directors",7.0,11.0,4.0,114.0,34.0,170.0
Office supervisors,15.0,3.0,8.0,128.0,16.0,170.0
Cleaning and housekeeping managers and supervisors,9.0,6.0,10.0,132.0,11.0,168.0
Senior care workers,16.0,3.0,5.0,108.0,35.0,167.0
Company secretaries,10.0,15.0,16.0,103.0,22.0,166.0
Mobile machine drivers and operatives n.e.c.,8.0,5.0,0.0,150.0,0.0,163.0
Restaurant and catering establishment managers and proprietors,5.0,4.0,3.0,119.0,28.0,159.0
Records clerks and assistants,8.0,6.0,14.0,118.0,10.0,156.0
Security guards and related occupations,42.0,2.0,15.0,86.0,10.0,155.0
Special needs education teaching professionals,14.0,7.0,0.0,106.0,17.0,144.0
Conference and exhibition managers and organisers,11.0,6.0,8.0,106.0,13.0,144.0
Telephone salespersons,18.0,6.0,8.0,98.0,5.0,135.0
Assemblers (vehicles and metal goods),27.0,0.0,10.0,84.0,13.0,134.0
Other drivers and transport operatives n.e.c.,30.0,6.0,6.0,75.0,12.0,129.0
Inspectors of standards and regulations,0.0,3.0,22.0,87.0,16.0,128.0
Chemical scientists,8.0,8.0,4.0,108.0,0.0,128.0
Construction operatives n.e.c.,14.0,0.0,6.0,89.0,16.0,125.0
Physical scientists,0.0,7.0,0.0,113.0,0.0,120.0
Bank and post office clerks,19.0,4.0,10.0,58.0,21.0,112.0
Protective service associate professionals n.e.c.,12.0,3.0,8.0,88.0,0.0,111.0
"Actuaries, economists and statisticians",0.0,4.0,0.0,91.0,15.0,110.0
Insurance underwriters,8.0,2.0,14.0,67.0,18.0,109.0
Telecommunications engineers,0.0,3.0,7.0,91.0,8.0,109.0
Housing officers,11.0,0.0,0.0,96.0,0.0,107.0
Artists,11.0,2.0,9.0,57.0,27.0,106.0
Human resources administrative occupations,17.0,0.0,10.0,70.0,9.0,106.0
Environment professionals,0.0,8.0,0.0,98.0,0.0,106.0
Electrical and electronics technicians,5.0,6.0,7.0,74.0,13.0,105.0
Pensions and insurance clerks and assistants,15.0,4.0,0.0,62.0,23.0,104.0
Health professionals n.e.c.,0.0,5.0,13.0,68.0,16.0,102.0
Social workers,12.0,2.0,9.0,64.0,14.0,101.0
"Launderers, dry cleaners and pressers",0.0,0.0,0.0,94.0,0.0,94.0
Medical radiographers,28.0,0.0,3.0,54.0,8.0,93.0
Research and development managers,0.0,0.0,0.0,85.0,6.0,91.0
"Glaziers, window fabricators and fitters",14.0,0.0,7.0,39.0,31.0,91.0
Social services managers and directors,5.0,0.0,0.0,59.0,25.0,89.0
Sheet metal workers,9.0,3.0,6.0,52.0,15.0,85.0
Gardeners and landscape gardeners,21.0,4.0,9.0,40.0,10.0,84.0
Legal secretaries,6.0,0.0,4.0,38.0,35.0,83.0
Air-conditioning and refrigeration engineers,0.0,2.0,3.0,77.0,0.0,82.0
"Product, clothing and related designers",0.0,6.0,0.0,74.0,0.0,80.0
Laboratory technicians,9.0,3.0,5.0,63.0,0.0,80.0
Educational support assistants,10.0,9.0,0.0,54.0,4.0,77.0
Pipe fitters,8.0,8.0,7.0,45.0,8.0,76.0
Youth and community workers,0.0,6.0,5.0,61.0,0.0,72.0
Health care practice managers,0.0,2.0,0.0,48.0,22.0,72.0
Catering and bar managers,5.0,3.0,3.0,52.0,8.0,71.0
Waiters and waitresses,12.0,0.0,0.0,59.0,0.0,71.0
"Skilled metal, electrical and electronic trades supervisors",24.0,2.0,8.0,35.0,0.0,69.0
Taxation experts,0.0,11.0,9.0,36.0,13.0,69.0
"Journalists, newspaper and periodical editors",10.0,13.0,0.0,46.0,0.0,69.0
Physiotherapists,0.0,0.0,19.0,45.0,5.0,69.0
Psychologists,0.0,0.0,0.0,67.0,0.0,67.0
"Packers, bottlers, canners and fillers",34.0,17.0,11.0,0.0,4.0,66.0
Bricklayers and masons,9.0,2.0,0.0,53.0,0.0,64.0
Hairdressers and barbers,8.0,2.0,8.0,0.0,45.0,63.0
Probation officers,0.0,0.0,0.0,38.0,24.0,62.0
Counsellors,5.0,0.0,6.0,45.0,6.0,62.0
Careers advisers and vocational guidance specialists,0.0,0.0,0.0,62.0,0.0,62.0
Bus and coach drivers,61.0,0.0,0.0,0.0,0.0,61.0
Vehicle valeters and cleaners,34.0,3.0,6.0,0.0,18.0,61.0
"Debt, rent and other cash collectors",14.0,5.0,0.0,42.0,0.0,61.0
IT specialist managers,0.0,2.0,0.0,46.0,13.0,61.0
"Textiles, garments and related trades n.e.c.",6.0,0.0,0.0,38.0,16.0,60.0
Telephonists,14.0,0.0,0.0,46.0,0.0,60.0
Legal professionals n.e.c.,0.0,4.0,0.0,50.0,6.0,60.0
Pharmaceutical technicians,7.0,0.0,3.0,0.0,49.0,59.0
School midday and crossing patrol occupations,5.0,0.0,0.0,0.0,53.0,58.0
Education advisers and school inspectors,0.0,0.0,0.0,57.0,0.0,57.0
Speech and language therapists,0.0,1.0,14.0,36.0,6.0,57.0
Furniture makers and other craft woodworkers,5.0,7.0,5.0,34.0,4.0,55.0
Elected officers and representatives,0.0,0.0,10.0,44.0,0.0,54.0
Therapy professionals n.e.c.,0.0,2.0,8.0,0.0,42.0,52.0
Natural and social science professionals n.e.c.,0.0,0.0,0.0,46.0,0.0,46.0
Plasterers,4.0,0.0,0.0,39.0,0.0,43.0
Chemical and related process operatives,6.0,2.0,0.0,34.0,0.0,42.0
Dental nurses,0.0,8.0,24.0,0.0,9.0,41.0
"Photographers, audio-visual and broadcasting equipment operators",10.0,13.0,10.0,0.0,8.0,41.0
Ophthalmic opticians,0.0,0.0,0.0,40.0,0.0,40.0
Houseparents and residential wardens,0.0,0.0,0.0,37.0,0.0,37.0
Pest control officers,0.0,2.0,0.0,35.0,0.0,37.0
Collector salespersons and credit agents,5.0,0.0,20.0,0.0,6.0,31.0
Upholsterers,16.0,0.0,7.0,0.0,6.0,29.0
Vehicle and parts salespersons and advisers,0.0,0.0,26.0,0.0,0.0,26.0
Pharmacy and other dispensing assistants,25.0,0.0,0.0,0.0,0.0,25.0
Pre-press technicians,0.0,6.0,3.0,0.0,16.0,25.0
Vehicle body builders and repairers,0.0,4.0,15.0,0.0,5.0,24.0
Elementary sales occupations n.e.c.,24.0,0.0,0.0,0.0,0.0,24.0
Assemblers (electrical and electronic products),8.0,0.0,5.0,0.0,11.0,24.0
Typists and related keyboard occupations,6.0,0.0,0.0,0.0,18.0,24.0
Electronics engineers,0.0,4.0,17.0,0.0,0.0,21.0
"Roofers, roof tilers and slaters",0.0,3.0,0.0,0.0,18.0,21.0
"Tool makers, tool fitters and markers-out",8.0,0.0,4.0,0.0,8.0,20.0
Refuse and salvage occupations,14.0,0.0,5.0,0.0,0.0,19.0
National government administrative occupations,0.0,0.0,0.0,0.0,18.0,18.0
Routine inspectors and testers,0.0,5.0,12.0,0.0,0.0,17.0
Veterinary nurses,0.0,0.0,0.0,0.0,16.0,16.0
Fire service officers (watch manager and below),0.0,0.0,0.0,0.0,16.0,16.0
Brokers,0.0,10.0,0.0,0.0,6.0,16.0
Printers,0.0,4.0,5.0,0.0,7.0,16.0
Paramedics,0.0,0.0,0.0,0.0,14.0,14.0
"Moulders, core makers and die casters",14.0,0.0,0.0,0.0,0.0,14.0
Occupational therapists,0.0,0.0,13.0,0.0,0.0,13.0
Architectural and town planning technicians,0.0,0.0,13.0,0.0,0.0,13.0
"TV, video and audio engineers",0.0,0.0,8.0,0.0,5.0,13.0
Street cleaners,13.0,0.0,0.0,0.0,0.0,13.0
Dispensing opticians,9.0,0.0,0.0,0.0,4.0,13.0
Dental practitioners,0.0,0.0,13.0,0.0,0.0,13.0
"Senior officers in fire, ambulance, prison and related services",0.0,0.0,0.0,0.0,13.0,13.0
Retail cashiers and check-out operators,7.0,0.0,0.0,0.0,5.0,12.0
Ship and hovercraft officers,0.0,0.0,12.0,0.0,0.0,12.0
Paper and wood machine operatives,0.0,0.0,12.0,0.0,0.0,12.0
Driving instructors,12.0,0.0,0.0,0.0,0.0,12.0
Assemblers and routine operatives n.e.c.,11.0,0.0,0.0,0.0,0.0,11.0
Taxi and cab drivers and chauffeurs,7.0,0.0,3.0,0.0,0.0,10.0
Financial institution managers and directors,0.0,0.0,0.0,0.0,10.0,10.0
Textile process operatives,0.0,4.0,6.0,0.0,0.0,10.0
Call and contact centre occupations,7.0,2.0,0.0,0.0,0.0,9.0
Fishing and other elementary agriculture occupations n.e.c.,0.0,0.0,9.0,0.0,0.0,9.0
Clergy,0.0,0.0,0.0,0.0,9.0,9.0
Floorers and wall tilers,6.0,3.0,0.0,0.0,0.0,9.0
Tailors and dressmakers,6.0,0.0,3.0,0.0,0.0,9.0
Air traffic controllers,0.0,0.0,8.0,0.0,0.0,8.0
Production managers and directors in mining and energy,0.0,2.0,6.0,0.0,0.0,8.0
Further education teaching professionals,0.0,0.0,0.0,0.0,8.0,8.0
Local government administrative occupations,5.0,3.0,0.0,0.0,0.0,8.0
"Weighers, graders and sorters",6.0,2.0,0.0,0.0,0.0,8.0
Animal care services occupations n.e.c.,7.0,0.0,0.0,0.0,0.0,7.0
Boat and ship builders and repairers,0.0,0.0,7.0,0.0,0.0,7.0
Conservation professionals,0.0,0.0,0.0,0.0,7.0,7.0
Farm workers,6.0,0.0,0.0,0.0,0.0,6.0
Precision instrument makers and repairers,6.0,0.0,0.0,0.0,0.0,6.0
Medical secretaries,0.0,0.0,0.0,0.0,6.0,6.0
Advertising accounts managers and creative directors,0.0,5.0,0.0,0.0,0.0,5.0
Elementary cleaning occupations n.e.c.,5.0,0.0,0.0,0.0,0.0,5.0
Hospital porters,5.0,0.0,0.0,0.0,0.0,5.0
Sewing machinists,5.0,0.0,0.0,0.0,0.0,5.0
Musicians,0.0,0.0,0.0,0.0,5.0,5.0
Metal making and treating process operatives,0.0,5.0,0.0,0.0,0.0,5.0
Financial and accounting technicians,0.0,0.0,5.0,0.0,0.0,5.0
"Actors, entertainers and presenters",0.0,4.0,0.0,0.0,0.0,4.0
Rail transport operatives,0.0,0.0,0.0,0.0,4.0,4.0
Publicans and managers of licensed premises,0.0,0.0,4.0,0.0,0.0,4.0
"Tyre, exhaust and windscreen fitters",0.0,0.0,0.0,0.0,4.0,4.0
Roundspersons and van salespersons,0.0,4.0,0.0,0.0,0.0,4.0
Officers of non-governmental organisations,0.0,0.0,4.0,0.0,0.0,4.0
Communication operators,0.0,4.0,0.0,0.0,0.0,4.0
Podiatrists,0.0,0.0,4.0,0.0,0.0,4.0
"Metal plate workers, and riveters",0.0,3.0,0.0,0.0,0.0,3.0
Police officers (sergeant and below),0.0,3.0,0.0,0.0,0.0,3.0
"Food, drink and tobacco process operatives",0.0,0.0,3.0,0.0,0.0,3.0
Hotel and accommodation managers and proprietors,0.0,3.0,0.0,0.0,0.0,3.0
Butchers,0.0,2.0,0.0,0.0,0.0,2.0
Library clerks and assistants,0.0,2.0,0.0,0.0,0.0,2.0
Steel erectors,0.0,2.0,0.0,0.0,0.0,2.0
Rail travel assistants,0.0,2.0,0.0,0.0,0.0,2.0
"Scaffolders, stagers and riggers",0.0,2.0,0.0,0.0,0.0,2.0
Quarry workers and related operatives,0.0,2.0,0.0,0.0,0.0,2.0
